Resultado Modelo de Transporte
Custo Calculado: R$ 4350861.060000003 
Fabrica   | Produto           | Quantidade (TON)  | Centro de DistribuiçãoAnastácio 
Anastácio | Familia_Produto_1 | 596.0        | Alta Floresta - MT 
Anastácio | Familia_Produto_1 | 16.0        | Diamantino - MT 
Anastácio | Familia_Produto_3 | 18.0        | Diamantino - MT 
Anastácio | Familia_Produto_5 | 6.0        | Diamantino - MT 
Anastácio | Familia_Produto_6 | 64.0        | Diamantino - MT 
Anastácio | Familia_Produto_7 | 92.0        | Diamantino - MT 
Anastácio | Familia_Produto_9 | 247.0        | Diamantino - MT 
Anastácio | Familia_Produto_10 | 79.0        | Diamantino - MT 
Anastácio | Familia_Produto_11 | 81.0        | Diamantino - MT 
Anastácio | Familia_Produto_12 | 131.0        | Diamantino - MT 
Anastácio | Familia_Produto_14 | 82.0        | Diamantino - MT 
Anastácio | Familia_Produto_16 | 58.0        | Diamantino - MT 
Anastácio | Familia_Produto_18 | 53.0        | Diamantino - MT 
Anastácio | Familia_Produto_19 | 31.0        | Diamantino - MT 
Anastácio | Familia_Produto_20 | 68.0        | Diamantino - MT 
Anastácio | Familia_Produto_1 | 260.0        | Araputanga - MT 
Anastácio | Familia_Produto_5 | 30.0        | Araputanga - MT 
Anastácio | Familia_Produto_1 | 223.0        | Vilhena - RO 
Anastácio | Familia_Produto_10 | 23.0        | Vilhena - RO 
Anastácio | Familia_Produto_1 | 245.0        | Pimenta Bueno - RO 
Anastácio | Familia_Produto_1 | 158.0        | São Miguel do Guaporé - RO 
Anastácio | Familia_Produto_1 | 20.0        | Goiania - GO 
Anastácio | Familia_Produto_16 | 135.0        | Ponta Porã 
Anastácio | Familia_Produto_1 | 138.0        | Osasco - SP 
Anastácio | Familia_Produto_1 | 79.0        | Aparecida de Goiania  
Anastácio | Familia_Produto_3 | 53.0        | Barra do Garças - MT 
Anastácio | Familia_Produto_1 | 78.0        | Pedra Preta - MT 
Anastácio | Familia_Produto_2 | 39.0        | Pedra Preta - MT 
Anastácio | Familia_Produto_3 | 148.0        | Pedra Preta - MT 
Anastácio | Familia_Produto_4 | 95.0        | Pedra Preta - MT 
Anastácio | Familia_Produto_5 | 226.0        | Pedra Preta - MT 
Anastácio | Familia_Produto_6 | 139.0        | Pedra Preta - MT 
Anastácio | Familia_Produto_7 | 177.0        | Pedra Preta - MT 
Anastácio | Familia_Produto_8 | 62.0        | Pedra Preta - MT 
Anastácio | Familia_Produto_9 | 29.0        | Pedra Preta - MT 
Anastácio | Familia_Produto_10 | 39.0        | Pedra Preta - MT 
Anastácio | Familia_Produto_11 | 140.0        | Pedra Preta - MT 
Anastácio | Familia_Produto_12 | 56.0        | Pedra Preta - MT 
Anastácio | Familia_Produto_13 | 9.0        | Pedra Preta - MT 
Anastácio | Familia_Produto_14 | 193.0        | Pedra Preta - MT 
Anastácio | Familia_Produto_15 | 4.0        | Pedra Preta - MT 
Anastácio | Familia_Produto_16 | 42.0        | Pedra Preta - MT 
Anastácio | Familia_Produto_17 | 235.0        | Pedra Preta - MT 
Anastácio | Familia_Produto_18 | 220.0        | Pedra Preta - MT 
Anastácio | Familia_Produto_19 | 185.0        | Pedra Preta - MT 
Anastácio | Familia_Produto_1 | 21.0        | Juara - MT 
Anastácio | Familia_Produto_10 | 87.0        | Juara - MT 
Anastácio | Familia_Produto_1 | 108.0        | POontes e Lacerda - MT 
Anastácio | Familia_Produto_12 | 31.0        | POontes e Lacerda - MT 
Nova Andradina | Familia_Produto_5 | 104.0        | Goiania - GO 
Nova Andradina | Familia_Produto_2 | 51.0        | Ponta Porã 
Nova Andradina | Familia_Produto_13 | 186.0        | Ponta Porã 
